hdirank,country,countryid,region,humandevelopmentdegree,gdivalue,gdigroup,hdifemale,hdimale,sdg3female,sdg3male,sdg43female,sdg43male,sdg44female,sdg44male,sdg85female,sdg85male
38,Grenada,GRD,Latin America and the Caribbean,HIGH,-,-,-,-,75.0,70.1,17.0,16.2,-,-,-,-
39,Mexico,MEX,Latin America and the Caribbean,HIGH,0.960,2,0.760,0.792,77.9,72.2,15.0,14.6,8.6,8.9,12765.00575,25838.40258
40,Ukraine,UKR,Europe and Central Asia,HIGH,1.000,1,0.776,0.776,76.8,67.1,15.3,14.9,11.3,11.3,10088.44216,16839.98439
41,Peru,PER,Latin America and the Caribbean,HIGH,0.957,2,0.759,0.793,79.5,74.1,14.9,15.1,9.1,10.3,9888.947352,14646.96975
42,Thailand,THA,East Asia and the Pacific,HIGH,1.008,1,0.782,0.776,80.9,73.5,15.8,14.7,7.7,8.2,15924.39422,19737.43468
43,Armenia,ARM,Europe and Central Asia,HIGH,0.982,1,0.766,0.780,78.5,71.3,13.6,12.6,11.3,11.3,9737.422415,18574.00572
44,Colombia,COL,Latin America and the Caribbean,HIGH,0.989,1,0.761,0.770,80.0,74.5,14.7,14.1,8.6,8.3,11593.68144,17018.04743
45,Brazil,BRA,Latin America and the Caribbean,HIGH,0.993,1,0.760,0.765,79.6,72.2,15.8,15.1,8.2,7.7,10534.70757,18119.94376
46,China,CHN,East Asia and the Pacific,HIGH,0.957,2,0.744,0.777,79.2,74.8,14.0,14.0,7.7,8.4,12632.66894,19307.70494
47,Ecuador,ECU,Latin America and the Caribbean,HIGH,0.967,2,0.743,0.768,79.8,74.3,14.9,14.3,8.7,8.9,7874.348972,14210.94744
48,Dominican Republic,DOM,Latin America and the Caribbean,HIGH,0.999,1,0.759,0.760,77.4,71.0,15.0,13.5,8.8,8.3,12448.85961,22739.55797
49,Algeria,DZA,Arab States,HIGH,0.858,5,0.671,0.782,78.1,75.7,14.8,14.4,7.7,8.3,3295.54795,18890.70983
50,Lebanon,LBN,Arab States,HIGH,0.892,5,0.691,0.774,80.9,77.1,11.1,11.5,8.5,8.9,6078.497813,23124.19653
51,Maldives,MDV,South Asia,HIGH,0.923,4,0.698,0.756,80.8,77.5,12.3,12.1,7.0,7.0,7907.654481,22931.11856
52,Tunisia,TUN,Arab States,HIGH,0.900,4,0.689,0.766,78.7,74.7,15.8,14.3,6.5,8.0,4586.806229,16340.58069
53,Suriname,SUR,Latin America and the Caribbean,HIGH,0.985,1,0.729,0.740,75.1,68.5,13.8,12.5,9.4,9.1,9503.86022,19092.9874
54,Jamaica,JAM,Latin America and the Caribbean,HIGH,0.994,1,0.730,0.735,76.1,72.9,13.9,12.4,10.2,9.3,7500.820975,11163.3261
55,Jordan,JOR,Arab States,HIGH,0.875,5,0.664,0.758,76.3,72.8,11.6,11.1,10.3,10.7,3323.645829,16233.91622
56,Libya,LBY,Arab States,HIGH,0.976,1,0.713,0.731,76.0,70.1,13.1,12.6,8.5,7.2,9249.284149,21998.62984
57,Uzbekistan,UZB,Europe and Central Asia,HIGH,0.939,3,0.695,0.740,73.8,69.6,11.9,12.2,11.6,12.0,5063.999948,9230.200749
58,Indonesia,IDN,East Asia and the Pacific,HIGH,0.940,3,0.694,0.738,74.0,69.6,13.7,13.5,7.8,8.6,7901.742095,14966.48749
